material_number,material_description,our_cost
336A3474AMG01,2PL WIRES-SILCO2K,278.42
336A3802G2,PIG_TAIL 20 INCHES,9.08
336A4903G1,CBL   ARCNET,90.33
68A7646P15,DIODE,121.89
68A9502P2,GTO,564.40
36A358208CXG01,9PL RIBBON CABLE,8.21
336A3582P1,UC2000 COM TO PC COM,74.04
336A4929G1,CBL MICROMINI D ADAP,106.97
336A4932AHG07,W  CABP J4-DSFC THPL,89.26
68A7964P3,RESISTOR,3.10
36A358208AAG08,6PL CABL OBS- LIMITED STOCK,44.58
336A4932AHG05,W  CABP J4-DSFC THPL - MIN BUY 9 PIECES,157.72
68A8200P1,DIODE,1.03
336A4932BSG01,THERMOCOUPLE,197.00
336A4932AHG03,W PWM2-PWM.S1000--2 PC MIN BUY,49.98
336A3401AAG01,SCR ASM KIT  53MM,158.27
323A2438P3,MOTOR 3HP 3PH 50/60,446.12
36B605787AAG01A,CBL 2PL W/O SLCC CRIMPD G C CX,331.13
BMC_KTK1_2,FUSE,3.66
323A2437P214,FUSE  500A  1300V,94.87
323A2432P76,600A 700VAC LEG FUS,38.89
323A2439P11,RESISTOR,69.69
323A2454P4,RES 4 OHM 5% 40W W,6.27
68A7233P07CR,DIODE,6.42
323A2449P1,NEMA 4 W/SPEC LABEL-SEE NOTES,228.45
36B605756ABG01,POTTED MOV ASM,701.60
ATO_A079-02,DESKS,795.54
323A2446P2,BLOWER WHEEL (3450RP,97.29
323A2446P1,BLOWER WHEEL (3450RP,79.92
323A2432P70,60A  700V LEG FUSE,22.97
B25D100DA,RES 100     5%  25W,5.04
DS200ACNAG1A,CARD ARCNET,325.92
36B605787AAG03,CBL 2PL W/O SLCC NOT CRIMPD,37.67
323A2432P40,40A 500V LEG FUSE,15.00
323A2432P50,60A 500V LEG FUSE,15.45
DS200DCFBG2B,DC POWER AND FEEDBACK,1386.62
323A2396P54,FUSE 5A 250VOLT GLASS,1.04
DS200DCFBG1B,DC POWER AND FEEDBACK,1689.52
323A2419P3,DEIONIZER UNIT (NO CARBON),650.69
323A2432P51,100A500V LEG FUSE,13.94
36B605787AAG02A,CBL 2PL W/O SLCC CRIMPED DC DX,83.32
323A2432P55,500A 500V LEG FUSE,24.37
323A2432P56,600A 500VAC LEG FUSE,13.02
DS200CPCAG1A,CONTACTOR PILOT CARD,78.95
68A7229P1,DIODE FAST RECOVERY,2.00
DS200CDBAG1B,CONTACTOR DRIVER CARD,4638.20
323A2432P52,175A  500V LEG FUSE,9.03
A50E100DA-TH,RES 100 5 PCT 50W WW,8.65
336A3438AJG05,1CPL  WIRES,17.48
942B279CFG01,250V <=0.6A 25J MOV-SUPP,2.00
68A7261P1,DIODE,1.02
336A3438AHG15,SQPL WIRES,14.55
336A3432CAG01,GENIUS TB KIT,2.96
336A3446ACG08,CT1 & CT3 ASM,149.98
323A3304P18,SCR/DIODE 1800V W/TE,1377.73
799C914ACG03,FUSE BLOCK,27.91
336A3473AL110,FIBER OPTIC CABLE AS,46.76
799C914AC004,FUSE BLOCK 3PT,21.25
336A3473AL170,FIBER OPTIC CABLE AS,55.77
336A3473AL100,FIBER OPTIC CABLE AS,32.22
336A3471BAG02,3PL WIRE CABLE,26.19
A100G50EA,RES 50 5 PCT 100W WW,18.30
151X1200SA004AX01,BUS ASM. NEG.,155.84
36A359100CDG02,29PLM-CABLE LAN DC D,5.06
799C914AC003,FUSE BLOCK 2PT,23.90
323A3350P14,SCR  53MM,139.33
323A3351P21,SCR  53MM,132.87
36B605573BEG01,CPT ASM 4.6A,444.45
A50E300DA-TH,RES 300 5 PCT 50W WW,25.52
68A7251P1,RECTIFIER-400V-3.0A,1.03
323A3347P6,37 CONDUCTOR CABLE  6 FT. LONG,38.38
323A3372P30,SCR  77MM,358.70
A100G75EA,RES 75 5 PCT 100W WW,26.98
336A3401AAG11,SCR ASM KIT 77MM 210,343.94
336A3401DAG01W,SCR 77MM 4400V WESTCODE,445.81
36A359100CYG15,LTB/3TB 115V FEED CA,6.34
A25D7500DA,68A7004 RESISTOR,31.86
336A3431G1,THYRISTOR REPLACEMEN,238.03
DS200DPCBG1A,IOS+ POWER CONNECT C,31.22
104X123DE016,RES 50OHM 5% 40 WATT,9.42
104X109BC017,FUSE  30A 600V KTKR,3.62
36C774524AAG50,BDCPL CABLE  AC_PX,15.40
PDAS1000A18G10,STARTER 18A W/ACCESS,247.71
323A2433P6,700A  700VAC LEG FUS,47.24
104X115AD031,AMMTR 0-20A FLD AMPS 152,148.33
104X109AJ014,FUSE 150A 700V RECT,16.04
PDAS1000A18G09,STARTER 18A W/ACCESS,226.38
PDVR1000P001,MOV,51.05
N908P237B6,SPRING RETAINER RING 9528A105,1.06
104X122AA336,1 MFD CAP W/O BKT MIN BUY 27,50.23
104X122AA315,CAPACITOR,54.38
104X122AA115,CAPACITOR,87.20
104X109AG003,FUSE 20A  500V RECT,3.58
336A4954BAP1,CAP 4200   500V  20%,85.41
104X109AD009,FUSE 1/2A250V SPECIA,1.01
RAG1BL240X000,34PIN FLAT,553.93
104X108AA005,FILTER 16X20X1 640CFM,5.33
104X105CB003,AC CONTACTOR,54.62
104X105CA074,DC CONT3 NC,5825.92
PDAS1001A32G03,STARTER 32A W/ACCESS,289.26
PDAS1002A18G12,STARTER 18A W/ACCESS,428.61
36C774524AAG49,4PL RIBBON CABLE,14.59
36C774524AAG51,"7PL CABLE        ""DC",12.44
104X109AD102,FUSE 0.5A 250V 2AG,1.07
104X109AD106,FUSE 10A  600VAC,7.58
PDAS1001A18G11,STARTER 18A W/ACCESS,331.44
68A7020P150F,RES-10W-WIRE WOUND,5.15
PDAS1000A18G11,STARTER 18A W/ACCESS,287.80
104X109AD076,FUSE 15A 600V SPECIAL,2.42
68A7020P820C,RES 10W WIRE-WOUND,2.93
104X123DA036,RESISTOR,8.89
323A2396P157,FUSE 7A 125V  TYPE 2AG,1.02
336A3485AJG01,IF1PL TO 2TB 21 22,12.31
36C774524AAG45,"4PL CABLE        ""DC_DX""",10.43
104X123DE014,RES 39 5% 40W WW,12.55
104X123DA019,RESISTOR 20 OHM,12.10
IS200XDIAG1A,LCI RETROFIT CARD,711.80
104X123DE017,RES 10 5% 40W WW,9.60
IS200VATFG1A,VOLTAGE ATTEN FDBK B,1406.20
68A7035P100G,RES 100K 1/4W 1% TOL,2.00
68A7864P5,CAPACITOR FIXED ELEC,18.90
104X123DE015,RES 500    5%   40W WW,12.55
104X123DA012,RES/WW,1.99
36C774524AAG44,"8PL  CABLE       ""DC",25.64
36C774524AAG48,1PL RIBBON CABLE,21.38
104X122AA431,CAPACITOR  MIN BUY 54,16.17
M9729350G25,RHEOSTAT,363.18
323A2432P72,200A  700VAC LEG FUS,17.25
N908P227B6,RETAINING RING .625 IC3012N,1.03
104X122AA448,CAPACITOR .1MFD 1500VAC 5%,25.17
104X122AA429,CAPACITOR .25MFD 1000VAC 10%,15.50
104X122AA371,CAP 3600   400V,46.68
104X123BH019,RESISTOR,1.01
68A7035P100F,RESISTOR-1/4W-10K-1%,1.01
44A372894-004,FAN,90.45
104X122CA002,RC NTWK .5 MFD 220 OHMS,14.70
104X122AA450,CAPACITOR .25MFD 1500VAC,25.27
IS215ISBBH2A,MODULE ISBB,88.00
IS215UCVHM06A,CONTROLLER WITH 2 ISBUS CHANNE,5803.87
36C774524AAG66,IOPL-FCR,22.49
36C774524AAG37,4 PL CABLE,9.15
PDQB1001Q14Q10-4,IGBT TRAN 1400V 1000A QTY4PACK,1822.00
573A384P11A,RHEOSTAT-25W--2 PC MIN BUY,35.00
PDQB1001Q16Q12,TRAN IGBT 1600V 1200     AC2K,1391.53
36C774524AAG38,"5PL CABLE        ""DC_GX""",19.04
36C774524AAG201,8PL CABLE W/NTBA,28.63
36C774524AAG91,"1PL   CABLE       ""D",36.63
336A3485AGG01,IA1PL TO 2TB 15 16,14.17
36C774524AAG41,"8PL CABLE           ""X""",16.54
36C774524AAG43,"1OPL CABLE       ""DC_GX""",19.13
4006L4107AAG002,SILCO 5 GPA,3008.38
36C774524AAG39,"6PL CABLE        ""DC_GX""",15.14
36C774524AAG200,8 PL CABLE,20.14
